account_id,user_id,account_type,currency,balance,daily_limit,monthly_limit,status,created_at,updated_at
036c8bfb-6727-40a9-94d9-e31012692895,6df2f683-42c2-4065-aeb2-d5439ad4f0f2,Wallet,SAR,10213.4,5000,50000,active,2024-03-05 03:22:52,2025-01-16 11:02:30
cb46dd88-cd34-41be-b67f-39b2ee3dfd1d,9872dcd8-4069-4cac-9129-8df19c724d39,Wallet,SAR,7239.2,10000,50000,active,2023-07-31 18:58:12,2025-10-16 14:44:20
8543f4e4-3c84-40ab-bb6e-fa9e40ff5cbd,894e21f2-95f0-47b1-9942-b4a2592a470d,Wallet,AED,2504.5,25000,250000,active,2023-05-19 21:36:40,2025-09-07 19:47:31
2557082a-2a46-49c4-83af-15a0fbbfd83e,74de62a3-32e1-434b-823b-ebfdfd74cf01,Wallet,SAR,14774.93,25000,100000,active,2025-02-24 19:27:51,2025-11-24 06:58:57
077eda32-6896-4cf0-adec-1bf8cda7125e,74de62a3-32e1-434b-823b-ebfdfd74cf01,Savings,SAR,84310.77,50000,100000,active,2025-02-24 19:27:51,2026-01-25 14:13:40
680a0bea-220f-41bc-8429-a3e08fe74bf9,2aa2c801-7569-4837-a2a5-9e52c444fe9a,Wallet,EGP,1751.67,5000,100000,active,2025-12-02 08:24:33,2025-12-13 16:14:09
3a505623-860a-4130-a0cf-5d2dc797d721,fcaa3dc3-eca3-4e3f-968e-85a1bcecc4b4,Wallet,SAR,2692.92,25000,50000,active,2025-11-08 10:02:18,2025-12-12 17:21:35
50ec6348-a67a-495f-a1c2-a008f01f3ec1,fc134194-e6e1-411b-8f98-efa5a316e9fb,Wallet,EGP,2395.32,50000,50000,active,2025-05-06 08:53:56,2025-09-30 18:44:13
06cc1085-3934-4cbd-81dd-c308caa5838f,fc134194-e6e1-411b-8f98-efa5a316e9fb,Savings,EGP,26576.34,10000,100000,active,2025-05-06 08:53:56,2025-08-01 19:32:15
b7a01251-00d2-4c08-add5-4d666d84dab6,6e99372f-d33b-48c9-8976-72a47ba7fcb1,Wallet,AED,24014.29,50000,250000,active,2023-07-20 18:32:47,2024-10-12 14:25:39
e85d7ae2-f459-4ef1-9b88-a687b8507ca7,6e99372f-d33b-48c9-8976-72a47ba7fcb1,Savings,AED,71644.42,50000,500000,active,2023-07-20 18:32:47,2023-09-03 23:22:14
d97a8529-3f4f-4587-a8c8-2c8e79e955d8,3399de2a-32cd-4493-93f8-312e94daeb97,Wallet,SAR,9237.85,50000,250000,active,2024-03-28 19:44:44,2024-09-19 08:12:16
36b998f6-67d8-4b4c-bfc1-dc2f9dd84fa3,d58dec0f-140b-4181-a3bf-5c07b5e90ffe,Wallet,SAR,20049.06,10000,50000,active,2024-02-05 12:28:53,2024-05-06 03:00:17
5cd8da01-877e-40f5-a9c4-5cb60900b3fb,1efd7b0c-c563-4acf-b894-becf975d162b,Wallet,SAR,24837.76,25000,250000,active,2024-11-24 03:57:49,2026-02-08 21:05:55
333b1902-fb64-457e-b01d-7ab0157a730a,ed21e22d-781e-4e4c-a5cd-a100200fea88,Wallet,SAR,20985.4,5000,100000,active,2025-12-16 18:52:41,2025-12-17 15:23:47
c43a11b1-1218-409b-8a01-e1e6f9d861eb,ed21e22d-781e-4e4c-a5cd-a100200fea88,Savings,SAR,23091.5,10000,500000,active,2025-12-16 18:52:41,2025-12-26 12:18:52
