payment_method_id,user_id,method_type,provider,last_four_digits,expiry_date,is_default,is_verified,is_active,added_at,created_at,updated_at
55eda244-7c48-4d2b-b5e0-20260ef9cf86,7b1cc991-b473-49fe-9fc6-f5f48a874882,credit_card,visa,6627,2028-08-31,True,True,True,2024-04-17 20:37:02,2024-04-17 20:37:02,2025-03-17 23:52:12
83b73a9b-0263-41cd-aa95-cfc14585a2c9,42c3189b-ce0b-4dd0-9c4e-d8fdee9e0239,bank_account,Bank_SA_1,2678,,True,True,True,2025-12-02 23:51:02,2025-12-02 23:51:02,2026-01-16 00:58:49
a8ec8900-1b49-4f86-92e9-abe20bf13b5d,42c3189b-ce0b-4dd0-9c4e-d8fdee9e0239,bank_account,Bank_SA_9,1149,,False,False,True,2025-12-29 15:16:03,2025-12-29 15:16:03,2026-01-31 23:36:36
d18c9ce1-ce49-47f7-9593-29f7b02546bd,16d5286f-b5a2-4770-9945-983e5624eb96,debit_card,amex,9420,2028-04-06,True,True,False,2025-07-19 02:36:15,2025-07-19 02:36:15,2025-12-16 05:34:37
7d08fad7-ab87-4655-8fff-71e40c62fba4,16d5286f-b5a2-4770-9945-983e5624eb96,debit_card,mastercard,6790,2028-11-02,False,True,True,2025-12-26 07:04:59,2025-12-26 07:04:59,2025-12-30 06:24:26
8cf69841-aacf-4eca-90f2-ee4e08795ba2,12f1ab85-be92-46c0-8068-988e22a91f45,debit_card,mastercard,1578,2030-07-21,True,True,True,2025-08-01 12:09:11,2025-08-01 12:09:11,2025-08-10 16:40:44
e92b4880-d86b-478e-adae-b546ede781c6,12f1ab85-be92-46c0-8068-988e22a91f45,credit_card,mastercard,9849,2027-08-10,False,True,True,2025-02-20 04:59:10,2025-02-20 04:59:10,2025-06-02 15:50:31
25cf50ee-2fb0-474a-a3ee-4bfab14ecc0f,dcdbe715-9f79-4122-a8a6-d26909e71052,debit_card,meeza,6486,2030-07-16,True,True,True,2026-01-13 06:11:27,2026-01-13 06:11:27,2026-01-14 03:28:43
52e2d1d7-da86-46f7-baae-d4ed06e651db,dcdbe715-9f79-4122-a8a6-d26909e71052,bank_account,Bank_EG_10,6784,,False,True,True,2026-02-24 13:47:50,2026-02-24 13:47:50,2026-02-28 09:42:57
c567d8fb-5bcd-47ad-bce2-09362c037e52,dcdbe715-9f79-4122-a8a6-d26909e71052,bank_account,Bank_EG_4,5285,,False,True,True,2026-01-21 14:37:17,2026-01-21 14:37:17,2026-02-11 08:55:38
eaec1403-9c36-4db3-96e9-82501f013a63,bab9d823-4803-4c8f-b036-5ad8e183dec2,credit_card,visa,5263,2028-02-24,True,False,True,2025-12-19 17:40:41,2025-12-19 17:40:41,2026-02-08 12:59:04
ec97ccaa-88b6-499f-a43a-40ffa7fcedd0,bab9d823-4803-4c8f-b036-5ad8e183dec2,debit_card,mada,4392,2029-05-10,False,True,True,2026-01-12 07:09:53,2026-01-12 07:09:53,2026-02-24 05:36:51
a2b672c2-928f-4efb-bd00-847fd6f03ab0,55747e1c-3dbe-41f4-ae17-a86902375b7b,wallet_balance,internal_wallet,,,True,True,True,2025-08-03 12:38:23,2025-08-03 12:38:23,2025-08-16 10:41:01
ff1c93d3-a849-4c06-a559-a5b6d587d2dc,55747e1c-3dbe-41f4-ae17-a86902375b7b,debit_card,meeza,2356,2029-07-22,False,True,True,2025-09-23 20:04:21,2025-09-23 20:04:21,2026-02-10 00:17:12
3f68b82b-a80c-42c0-8b87-bea3eac7f9b0,2cba2a87-efaa-4eb8-a562-e016a1928d89,credit_card,mastercard,6989,2030-02-04,True,False,True,2025-01-14 23:53:45,2025-01-14 23:53:45,2025-10-07 13:37:49
220d6a22-4672-4aa6-82dd-412b9e3b231b,2cba2a87-efaa-4eb8-a562-e016a1928d89,debit_card,amex,9469,2029-07-17,False,False,True,2025-12-25 07:37:30,2025-12-25 07:37:30,2026-01-13 08:17:57
f4bcc82c-24ae-452a-8d27-5b4f64bd4ff0,d9335a02-a2be-4282-9710-c9d4ee981306,bank_account,Bank_SA_6,1364,,True,True,True,2024-09-25 07:36:43,2024-09-25 07:36:43,2024-10-22 17:15:31
71d5ddf3-e944-4c80-beb7-008cb9c06c2b,d9335a02-a2be-4282-9710-c9d4ee981306,credit_card,mastercard,4014,2027-09-14,False,True,True,2024-12-08 08:17:54,2024-12-08 08:17:54,2025-02-22 10:09:50
a1c36dc0-4565-4cc5-bd78-375dfe79ace9,d9335a02-a2be-4282-9710-c9d4ee981306,debit_card,mada,6636,2028-09-17,False,True,True,2025-06-16 04:41:30,2025-06-16 04:41:30,2025-11-12 03:54:15
b429a150-7777-469d-88b2-6c1bf3323316,a9ad0e51-ea06-4614-8b13-013b9692f8d9,bank_account,Bank_SA_7,2100,,True,True,True,2025-03-01 11:40:12,2025-03-01 11:40:12,2025-09-27 06:01:51
d33fe142-1846-49d7-81b5-60326c077e8d,382c0760-4f1b-4380-ab49-aa2e53550424,bank_account,Bank_SA_8,4295,,True,True,True,2025-06-03 16:49:23,2025-06-03 16:49:23,2025-07-11 09:50:53
